id,ingredient_name,ecode,id_status,desc
172,Sodium acid pyro-phosphate,E450,1,"It used in a variety of food applications including as a leavening agent in baked goods, a water retention agent for cooked meat products, as a sequesterant (as in potato processing), buffer and as a scald agent (poultry)."
173,Sodium alginate,E401,1,"It is the sodium salt of alginic acid. Its form as a gum, when extracted from the cell walls of brown algae, is used by the foods industry to increase viscosity and as an emulsifier. It is also used in indigestion tablets."
174,Sodium ascorbate,E301,1,It is the sodium salt of ascorbic acid..It is a food additive serving as a preservative and colour fixative.
175,Sodium bicarbonate,E500,1,"The salt has many other names including sodium hydrogen carbonate and ""sodium bicarb, "" as well as baking soda, bread soda, saleratus, or bicarbonate of soda. Sodium bicarbonate is primarily used in cooking (baking) where it reacts with other components to release carbon dioxide, that helps dough ""rise."" The acidic compounds that induce this reaction include cream of tartar, lemon juice, yogurt, etc."
176,Sodium bisulfite,E222,1,It is a food preservative.
177,Sodium caseinate,E469,1,"Sodium caseinate is produced by reacting the acid casein with sodium hydroxide. Besides their nutrient value, casein proteins have many other uses. They are good emulsifiers, helping fats to stay suspended in water based products such as milkshakes, coffee creamers, and ice creams. They are also used as binders in processed meats (lunchmeats, sausages, etc.)."
178,Sodium citrate,E331,1,"It is the sodium salt of citric acid. It is chiefly used as a food additive, usually for flavor or as a preservative. Sodium citrate gives club soda both its sour and salty flavors. Sodium citrate is common in lemon-lime soft drinks, and it is partly what causes them to have their sour taste."
179,Sodium cyclamate,E952,1,"Cyclamate is approved as a sweetener in more than 55 countries: for example, the brand-name beverage sweetener Sweet'N Low, which contains only dextrose, saccharin, cream of tartar and calcium silicate in the United States, contains cyclamate in Canada (where saccharin is banned except for diabetic usage)."
180,Sodium hexameta phosphate,,1,A Sequestrant and water blending agent.
181,Sodium Lauryl Sulfate,,1,"Both Sodium Lauryl Sulfate (SLS) and its close relative Sodium Laureth Sulfate (SLES) are commonly used in many soaps, shampoos, detergents, toothpastes and other products that we expect to ""foam up"". Both chemicals are very effective foaming agents, chemically known as surfactants."
182,Sodium metaphosphate,E452,1,It is an insoluble mineral salt.
183,Sodium phosphate,E339,1,"Sodium salts of phosphoric acid, widely used in pharmaceutical manufacturing, medicine, and chemistry."
184,Sodium saccharin,E954,1,It is the oldest artificial sweetening substance. The form used as an artificial sweetener is usually its sodium salt hence the name sodium saccharin.
185,Sodium stearate,,3,Sodium stearate is one of the main compounds in common soap.It is uncertain wether the chemical itself is halal or haram.
186,Sorbic acid,E200,1,"Sorbic acid is a polyunsaturated fat. It is used to inhibit molds, yeasts, and fungi in many foods, such as cheese and baked goods."
187,Sorbitan monostearate,E491,4,"Sorbitan monostearate is an ester of sorbitan and stearic acid and is sometimes referred to as a synthetic wax. It is primarily used for emulsifying water and oils together. Sorbitan monostearate is used in manufacture of food and healthcare products, and is a nonionic surfactant with emulsifying, dispersing, and wetting properties.It's important to determine its source which could be both animal or vegetable."
188,Sorbitol,E420,1,Sorbitol is a sugar substitute often used in diet foods (including diet drinks) and sugar-free chewing gum. It also occurs naturally in many stone fruits. Sorbitol is also used in modern cosmetics as a humectant and thickener.
189,Sour Cream Solids,,4,"Commercial sour cream, is made out of heavy cream, and gets its characteristic tang from the lactic acid created by the bacteria. Sour cream often contains additional ingredients such as gelatin, rennin, and vegetable enzymes.One must make sure that the additional ingredient is halal or from a vegetable source."
190,Soya Sauce,,1,"soya sauce is a fermented sauce made from soybeans (soya beans), roasted grain, water and salt. The sauce, originating in China, is commonly used in East and Southeast Asian cuisine and appears in some Western cuisine dishes, especially as an ingredient in Worcestershire sauce."
191,Sperm oil,,1,"Sperm oil, liquid wax obtained from the sperm whale, or cachalot, and related marine mammals. The oil is an excellent lubricant, especially for watches and other delicate instruments, and is used as a dressing for leather, to protect plants from insects, in tempering steel, and in making soap."
192,Spermaceti,,1,"A solid waxy substance, separated from the oils obtained from the sperm whale and other marine mammals. A mixture of esters of fatty acids, it is composed chiefly of cetyl palmitate. It is used mostly in ointments and cosmetics and in fine candles and was widely employed formerly as the waterproofing medium for oilskins."
193,Stannous chloride,E512,1,"Tin(II) chloride (stannous chloride) is a white crystalline solid widely used as a reducing agent. Stannous chloride is also added as a food additive with E number E512 to some canned and bottled foods, where it serves as a color-retention agent and antioxidant."
194,Stearates,,4,"A salt or ester of stearic acid.It usually comes in the form of _calcium stearate_, and it is found in hard candies like Gobstoppers and Sweetarts as well as other places.Stearic acid present in it maybe derived from tallow, or animal fat hence making it haram to consume unless the animal is zabihah. Stearate is also used in vinyls (like car seats) and plastics."
195,Stearic Acid,E570,4,"Stearic acid is prepared by treating animal fat with water at a high pressure and temperature, leading to the hydrolysis of triglycerides. It can also be obtained from the hydrogenation of some unsaturated vegetable oils. Common stearic acid is actually a mix of stearic acid and palmitic acid, although purified stearic acid is available separately.Depending on the source of this acid it maybe halal or haram.Stearic acid is useful as an ingredient in making candles, soaps, plastics, oil pastel, cosmetics and for softening rubber. Stearic acid is used to harden soaps, particularly those made with vegetable oil, that otherwise tend to be very soft."
196,Sucralose,E955,1,"Sucralose is an artificial sweetener known by the trade name Splenda. Sucralose can be found in more than 4, 500 food and beverage products. Sucralose is used as a replacement of, or in combination with other artificial sweeteners such as aspartame, acesulfame potassium or high-fructose corn syrup."
197,Sucrose acetate isobutyrate,E444,1,"Also known as SAIB it is used as a food additive in drink production. SAIB is a nice stabilizer, and it can adjust the relative density and increase the cloudness of soft drink. Therefore, it is wildly used as food emulsification essence. SAIB can also be used as additive in the lipstick, shampoo and other unctuous or colloidal cosmetic products."
198,Suet,,4,"Suet is raw beef or mutton fat, especially the hard fat found around the loins and kidneys. The type sold in supermarkets is dehydrated suet.Vegetarian suet is readily available in supermarkets in the United Kingdom. It is made from fat such as palm oil combined with rice flour. It resembles shredded beef suet, and is used as a substitute in recipes.Vegetarian suet is halal to eat.Whereas, beef suet must be from a zabiha animal. Usually made from animal fat, vegetable versions are available."
199,Sweetener,,1,Substance that gives a sweet taste.
200,Tallow,,2,"Tallow is rendered beef or mutton fat, processed from suet.It is used in animal feed, to make soap, for cooking, as a bird food, and was once used for making candles.Tallow made from a zabiha animal is ofcourse halal."
201,Tannin,,1,"Tannins are astringent, bitter-tasting plant polyphenols that bind and precipitate proteins. Tannins may be employed medicinally in antidiarrheal, hemostatic, and antihemorrhoidal compounds."
202,Tartaric Acid,E334,1,"It is widely distributed in nature and is classified as a fruit acid. Practically, it is naturally found in grapes, normally by crushing them."
203,Thiamin,,1,"Thiamine also known as vitamin b1 is found naturally in the Green peas, Spinach, Liver, Beef, Pork, Navy beans, Nuts, Pinto beans, Soybeans, Whole-grain and Enriched Cereals, Breads, Yeast, and Legumes.Thiamin supplements are either extracted from fruit or made synthetically hence safe to consume."
204,Tocopherols concentrate,E306,1,"Tocopherols or vitamin E is an antioxidant extracted from soya bean oil, rice germ, wheat germ, maize or green leaves."
205,Tofu,,4,"Tofu, also called bean curd (literal translation), is a food of Chinese origin, made by coagulating soy milk, and then pressing the resulting curds into blocks.Tofu in its simplest form is halal.However a wide variety of processed tofu is available in the market.Some haram ingrediants maybe used in processing which makes the tofu itself haram to consume(e.g. frying in lard, fermenting in alcohol)."
206,Toothpaste,,4,"In a toothpaste Ingredients such as baking soda, enzymes, vitamins, herbs, calcium, mouthwash, are often combined into base mixes and marketed as being beneficial.Calcium used in toothpaste can be derived from animal bones or from lime.Similiarly the enzymes may also be from an animal source.Confirm from the packaging or the manufacturer that its suitable for vegetarians."
207,Torula Yeast,,4,"Torula, in its inactive form, is widely used as a flavouring in processed foods and pet foods. It is produced from wood sugars, as a by-product of paper production.It is halal if grown on sugar cane or halal sulfite waste but Haram if grown on liquor."
208,Triacetin,E1518,1,Commercially prepared from acetic acid and glycerol. Used as a solvent for flavours; it also has some anti-fungal activity.
209,Tryptophan,,1,"Tryptophan is an amino acid and essential in human nutrition. The essential amino acid L-tryptophan helps support relaxation, restful sleep, and feeling better. It plays a part in the synthesis of both melatonin and serotonin, hormones involved with mood and stress respons.Its natural source include oats, bananas, dried dates, milk, yogurt, cottage cheese, red meat, fish, poultry, sesame, chickpeas, sunflower seeds, pumpkin seeds, and peanuts.Make sure the tryptophan available in health stores is suitable for vegetarians."
210,Uric Acid,,3,"Uric acid (or urate) is an organic compound of carbon, nitrogen, oxygen and hydrogen.Found in the urine of mammals and as a dry mass in birds and reptiles. Uric acid or urates have anti-oxidant properties"
211,Vanilla Extract,,2,"A flavouring extract made from the vanilla bean and used in candy, ice cream, and perfumes. To obtain Pure Vanilla Extract, cured Vanilla Beans are steeped in alcohol. According to law, Pure Vanilla Extract must be 35 percent alcohol by volume.Hence making it absolutely haram for consumption."
212,Vanillin or Vanillic Acid,,1,"It is the primary component of the extract of the vanilla bean. Synthetic vanillin is used as a flavoring agent in foods, beverages, and pharmaceuticals. The ice cream and chocolate industries together comprise 75% of the market for vanillin as a flavoring, with smaller amounts being used in confections and baked goods."
213,Vinegar,,1,"Vinegar is commonly used in food preparation, particularly in pickling processes, vinaigrettes, and other salad dressings. It is an ingredient in sauces such as mustard, ketchup, and mayonnaise. Vinegar is an essential component of chutneys. It is often used as a condiment. Marinades often contain vinegar."
214,"Vitamin A, D, E, K",,4,"Animal gelatin is required to microencapsulate Fat soluble Vitamins (A, D, E, K). This gelatin maybe from Pork and Bovine sources making the vitamins haram. MaltoDextrins, Food Starch, and Acacia gum based raw materials are halal replacements for microencapsulation.When buying the vitamins please make sure it indicates ?suitable for vegetarians'.Incase there is present E471 please confirm it is from a vegetable source."
215,Vitamin C,E300,1,Vitamin C as ascorbic acid is the most widely taken nutritional supplement and is available in a variety of forms from tablets and drink mixes to pure ascorbic acid crystals in capsules or as plain powder.When buying in a capsule form make sure the capsule is halal.
216,Whey and Whey Powder,,4,"Whey or milk plasma is the liquid remaining after milk has been curdled and strained; it is a by-product of the manufacture of cheese or casein. It is used as an additive in many processed foods, including breads, crackers and commercial pastry. The most commonly used milk curdling agent is the animal-derived rennet which may not be from a halal source.Vegetable-source rennet or lemon juice, citric acids or sulfuric acid to separate milk into curds and whey is also available in the market hence one must confirm before purchasing."
217,Wine,,2,"Islam forbids the use of alcohol. Some Wine based drinks are Brandy, Calimocho, Mulled wine, Hipocras, Sangria, Spritzer."
218,Wool Fat,,1,An old name for lanolin.
219,Wool Wax,,1,An old name for lanolin.
220,Worcester Sauce,,1,"It is a flavouring used in many dishes, both cooked and uncooked, and particularly with beef.The sauce may contain vinegar, molasses, corn syrup, water, chili peppers, soy sauce, pepper, tamarinds, anchovies, onions, shallots, cloves, asafoetida and garlic which are all Halal ingrediants."
221,Xanthan gum,E415,1,"Xanthan gum is a natural gum polysaccharide. In foods, xanthan gum is most often found in salad dressings and sauces. It helps to stabilize the colloidal oil and solid materials found in these products. It is also used in frozen foods and beverages. Toothpaste often contains xanthan gum, where it serves as a binder to keep the product uniform."
222,Xylitol,E967,1,"Xylitol is also called wood sugar or birch sugar.It is a naturally occurring sweetener found in the fibers of many fruits and vegetables, including various berries, corn husks, oats, and mushrooms.It can be extracted from corn fiber, birch, raspberries, plums, and corn and is primarily produced in China."
223,Yeast,,4,"Many types of yeasts are used for making many foods: Baker's yeast in bread production, brewer's yeast in beer fermentation, yeast in wine fermentation and for xylitol production. Baker's yeast is Halal while the yeast in wine and beer fermentation are haram."
224,Yoghurts,,1,The ingredients used in some low fat yougharts is questionable.Please see details on package or consult the manufacturer for clarification.
225,Zein,,1,"Zein is a class of prolamine protein found in maize.It is used as a coating for candy, nuts, fruit, pills, and other encapsulated foods and drugs. In the United States it may be labeled as ""confectioner's glaze"" and used as a coating on bakery products or as ""vegetable protein."""
226,pork,,2,pig meat
227,Gelatine,E441,4,"A product obtained (by boiling in water) from the partial hydrolysis of collagen derived from cartilage, bones, tendons and skin in animals. Vegetable gelatine is similar to animal gelatine in its function and is obtained from gluten of wheat or other cereals. Fish gelatine also exists. Concerned Muslims should find out the source of gelatine used. Alternatives such as Agar Agar, Carrageen and Gelozone exist."
228,Gelatin,E441,4,"A product obtained (by boiling in water) from the partial hydrolysis of collagen derived from cartilage, bones, tendons and skin in animals. Vegetable gelatine is similar to animal gelatine in its function and is obtained from gluten of wheat or other cereals. Fish gelatine also exists. Concerned Muslims should find out the source of gelatine used. Alternatives such as Agar Agar, Carrageen and Gelozone exist."
229,chicken bone broth,,4,
